benchmark,n,rmd_orig_mean,rmd_orig_std,rmd_pythia69b_mean,rmd_pythia69b_std,pearson_pythia69b,spearman_pythia69b,rmd_olmo27b_mean,rmd_olmo27b_std,pearson_olmo27b,spearman_olmo27b,rmd_llama318b_mean,rmd_llama318b_std,pearson_llama318b,spearman_llama318b
mmlu_test,500,0.48222941160202026,0.23642750084400177,0.36160212755203247,0.22800058126449585,0.7823659964866296,0.7490848523394094,0.04056498035788536,0.18053096532821655,0.32691221728909675,0.2762643370573482,0.01892583630979061,0.1015121266245842,-0.060411726072030235,-0.06829035316141263
arc_challenge,500,0.5796599388122559,0.23553791642189026,0.5747330188751221,0.24261920154094696,0.8432209694209408,0.8397750711002843,0.2887628674507141,0.16314782202243805,0.4051356328202929,0.3904838659354637,0.22188474237918854,0.13482213020324707,0.27277543946459953,0.26809124836499343
gsm8k_test,500,0.7707756161689758,0.18430903553962708,0.46695539355278015,0.1467224657535553,0.838657239053337,0.8028309553238213,-0.41786429286003113,0.18565712869167328,-0.20986701766354765,-0.190687194748779,4.649162388403738e-09,1.2336744248386822e-07,0.0013638697550750398,0.021641321823519483
