model,benchmark,ensemble,evaluator,n_strata,iv_weighted_gap,iv_se,z_stat,p_two_sided,p_correct_direction
microsoft/Phi-3.5-mini-instruct,hellaswag_val,v1,phase5_full,2,-0.09305918991946292,0.05174486095883179,-1.798423808569141,0.07210987263853252,0.0360549363192663
microsoft/Phi-3.5-mini-instruct,arc_challenge,v1,phase5_full,4,0.10680158277333135,0.04546815883148785,2.3489313294860876,0.01882737873366036,0.9905863106331698
microsoft/Phi-3.5-mini-instruct,humaneval,v2,phase5_full,1,0.3333333333333333,0.21081851067789198,1.5811388300841893,0.11384629800665813,0.9430768509966709
microsoft/phi-4,gsm8k_test,v1,phase5_full,4,0.14883173715874193,0.0810377022664463,1.8365740019305283,0.06627280822453652,0.9668635958877317
microsoft/phi-4,mmlu_test,v1,phase5_full,2,0.1550359036963771,0.05681106397394354,2.7289737746767866,0.006353175618151186,0.9968234121909244
microsoft/phi-4,mmlu_test,v2,phase5_full,1,0.2659963436928702,0.22433967388051734,1.1856857019170806,0.23574644311151083,0.8821267784442446
microsoft/phi-4,hellaswag_val,v1,phase5_full,1,0.038461538461538464,0.03846153846153846,1.0000000000000002,0.3173105078629139,0.841344746068543
microsoft/phi-4,arc_challenge,v1,phase5_full,3,-0.04645353592160813,0.07692412573932668,-0.6038877332064266,0.5459182848674262,0.2729591424337131
microsoft/phi-4,arc_challenge,v2,phase5_full,3,-0.006895655202709602,0.07897722089863632,-0.08731195051241247,0.9304235551635054,0.46521177758175275
microsoft/phi-4,humaneval,v2,phase5_full,1,0.01785714285714285,0.18982403237026163,0.09407208683835967,0.9250518935055845,0.5374740532472078
mistralai/Mistral-7B-v0.3,mmlu_test,v1,phase5_full,2,0.265462458876499,0.060804538086061136,4.365832999187831,1.2663921006961232e-05,0.9999936680394965
mistralai/Mistral-7B-v0.3,mmlu_test,v2,phase5_full,1,-0.25802919708029204,0.20113134517131995,-1.2828890338326309,0.19953095532700438,0.09976547766350213
mistralai/Mistral-7B-v0.3,arc_challenge,v1,phase5_full,4,-0.046640397655329416,0.07110531708157264,-0.6559340365759588,0.5118665672489693,0.25593328362448464
mistralai/Mistral-7B-v0.3,humaneval,v2,phase5_full,1,-0.2,0.20000000000000004,-0.9999999999999999,0.31731050786291415,0.15865525393145707
Qwen/Qwen3-8B,humaneval_sandbox,v2,sandbox_pass1,1,-0.29166666666666663,0.19421884459536773,-1.5017423632311275,0.13316365864923907,0.06658182932461958
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,humaneval_sandbox,v1,sandbox_pass1,2,-0.16867469879518074,0.13443321448446624,-1.2547100018550186,0.20958405356589416,0.10479202678294708
google/gemma-2-9b,humaneval_sandbox,v1,sandbox_pass1,1,0.09999999999999998,0.27688746209726917,0.3611575592573075,0.7179816667337768,0.6410091666331116
meta-llama/Llama-3.1-8B,humaneval_sandbox,v2,sandbox_pass1,2,-0.16194881962036936,0.19130505855568622,-0.8465475029413733,0.3972473856647154,0.1986236928323577
microsoft/Phi-3.5-mini-instruct,humaneval_sandbox,v2,sandbox_pass1,1,0.0,0.29814239699997197,0.0,1.0,0.5
microsoft/phi-4,humaneval_sandbox,v2,sandbox_pass1,2,0.016823152440251586,0.1741236689148786,0.09661611511572092,0.923031258356819,0.5384843708215905
mistralai/Mistral-7B-v0.3,humaneval_sandbox,v2,sandbox_pass1,1,-0.55,0.23884190282581186,-2.3027785053325287,0.02129130850521932,0.010645654252609705
EleutherAI/pythia-1b,math500,v1,numeric_boxed,2,-0.029936027068792954,0.04122269185907487,-0.7262026257560558,0.4677145625256074,0.2338572812628037
EleutherAI/pythia-6.9b,math500,v2,numeric_boxed,2,0.03970402938259028,0.023155531838585687,1.7146671326472698,0.08640627280490465,0.9567968635975477
allenai/OLMo-2-1124-7B,math500,v2,numeric_boxed,4,-0.037881658403532026,0.02335994289527163,-1.6216502999756814,0.10487824604216156,0.05243912302108076
google/gemma-2-27b,math500,v1,numeric_boxed,2,0.38989169675090257,0.0681290526755152,5.7228404247432785,1.0475765144235538e-08,0.9999999947621174
google/gemma-2-27b,math500,v2,numeric_boxed,4,0.3765928675219098,0.05632531818636189,6.686031781940197,2.2930324306003058e-11,0.9999999999885348
google/gemma-2-9b,math500,v1,numeric_boxed,4,0.3605801833634544,0.08349554302251053,4.318556060725797,1.570533314954048e-05,0.9999921473334252
google/gemma-2-9b,math500,v2,numeric_boxed,3,0.3653089864554757,0.05191578836098435,7.036568219197303,1.970423824104728e-12,0.9999999999990148
meta-llama/Llama-3.1-8B,math500,v2,numeric_boxed,4,0.0821567109570214,0.05989630148996923,1.3716491488340077,0.17017268569276345,0.9149136571536183
microsoft/phi-4,math500,v2,numeric_boxed,4,0.16941495032725504,0.06654526083556746,2.54586048953775,0.010900874458886767,0.9945495627705566
Qwen/Qwen2.5-14B,livecodebench_sandbox,v2,sandbox_pass1,2,0.24060925259180083,0.07868020832993146,3.058065779170903,0.002227706700972387,0.9988861466495138
allenai/OLMo-2-1124-7B,livecodebench_sandbox,v2,sandbox_pass1,1,0.13333333333333333,0.06312427686319992,2.112235418114766,0.03466626204698575,0.9826668689765071
google/gemma-2-27b,livecodebench_sandbox,v2,sandbox_pass1,2,0.10789498570566025,0.08293743209022249,1.30092025984465,0.1932857505395118,0.9033571247302441
google/gemma-2-9b,livecodebench_sandbox,v2,sandbox_pass1,2,0.047850849437764686,0.019733906238874176,2.4248037291016638,0.015316664991292583,0.9923416675043537
meta-llama/Llama-3.1-8B,livecodebench_sandbox,v2,sandbox_pass1,2,0.061974393024055885,0.06147516484563848,1.0081208107317963,0.3133964681554504,0.8433017659222748
microsoft/phi-4,livecodebench_sandbox,v2,sandbox_pass1,2,-0.00588235294117648,0.019174124721184262,-0.30678599553894864,0.7590062685283967,0.37950313426419835
