model,benchmark,ensemble,full_n,full_acc,clean_n,clean_acc,clean_ci_low,clean_ci_high,contam_n,contam_acc,contam_ci_low,contam_ci_high,clean_minus_contam
EleutherAI/pythia-6.9b,arc_challenge,v1,1000,0.188,159,0.13836477987421383,0.0880503144654088,0.1949685534591195,78,0.23076923076923078,0.14102564102564102,0.3333333333333333,-0.09240445089501695
EleutherAI/pythia-6.9b,arc_challenge,v2,1000,0.188,926,0.183585313174946,0.15982721382289417,0.20734341252699784,1,1.0,1.0,1.0,-0.816414686825054
EleutherAI/pythia-6.9b,humaneval,v1,164,0.042682926829268296,1,0.0,0.0,0.0,110,0.05454545454545454,0.01818181818181818,0.1,-0.05454545454545454
EleutherAI/pythia-6.9b,humaneval,v2,164,0.042682926829268296,59,0.01694915254237288,0.0,0.05084745762711865,3,0.0,0.0,0.0,0.01694915254237288
EleutherAI/pythia-70m,gsm8k_test,v1,1000,0.001,1000,0.001,0.0,0.004,0,,,,
EleutherAI/pythia-70m,gsm8k_test,v2,1000,0.001,1000,0.001,0.0,0.004,0,,,,
EleutherAI/pythia-70m,mmlu_test,v1,969,0.0030959752321981426,969,0.0030959752321981426,0.0,0.007223942208462332,0,,,,
EleutherAI/pythia-70m,mmlu_test,v2,969,0.0030959752321981426,969,0.0030959752321981426,0.0,0.007223942208462332,0,,,,
EleutherAI/pythia-70m,hellaswag_val,v1,1000,0.001,1000,0.001,0.0,0.003,0,,,,
EleutherAI/pythia-70m,hellaswag_val,v2,1000,0.001,1000,0.001,0.0,0.003,0,,,,
EleutherAI/pythia-70m,arc_challenge,v1,1000,0.0,1000,0.0,0.0,0.0,0,,,,
EleutherAI/pythia-70m,arc_challenge,v2,1000,0.0,1000,0.0,0.0,0.0,0,,,,
EleutherAI/pythia-70m,humaneval,v1,164,0.0,164,0.0,0.0,0.0,0,,,,
EleutherAI/pythia-70m,humaneval,v2,164,0.0,164,0.0,0.0,0.0,0,,,,
Qwen/Qwen2.5-7B,gsm8k_test,v1,1000,0.026,4,0.0,0.0,0.0,782,0.024296675191815855,0.014066496163682864,0.034526854219948847,-0.024296675191815855
Qwen/Qwen2.5-7B,gsm8k_test,v2,1000,0.026,290,0.03103448275862069,0.013793103448275862,0.05172413793103448,80,0.0125,0.0,0.0375,0.01853448275862069
Qwen/Qwen2.5-7B,mmlu_test,v1,969,0.7151702786377709,249,0.7590361445783133,0.7028112449799196,0.8113453815261038,165,0.6,0.5212121212121212,0.6727272727272727,0.15903614457831328
Qwen/Qwen2.5-7B,mmlu_test,v2,969,0.7151702786377709,832,0.7355769230769231,0.7043269230769231,0.765625,4,0.5,0.0,1.0,0.23557692307692313
Qwen/Qwen2.5-7B,hellaswag_val,v1,1000,0.863,297,0.7609427609427609,0.7104377104377104,0.8080808080808081,5,1.0,1.0,1.0,-0.23905723905723908
Qwen/Qwen2.5-7B,hellaswag_val,v2,1000,0.863,998,0.8627254509018036,0.8416833667334669,0.8837675350701403,0,,,,
