,,clean_acc,clean_acc,clean_minus_contam,clean_minus_contam,clean_n,clean_n,contam_acc,contam_acc,contam_n,contam_n
ensemble,,v1,v2,v1,v2,v1,v2,v1,v2,v1,v2
model,benchmark,,,,,,,,,,
google/gemma-2-9b,hellaswag_val,0.641,0.641,,,1000.0,1000.0,,,0.0,0.0
google/gemma-2-9b,humaneval,0.09523809523809523,0.0738255033557047,0.042606516290726815,,42.0,149.0,0.05263157894736842,,19.0,0.0
google/gemma-2-9b,mmlu_test,0.6759956942949408,0.6749226006191951,-0.3240043057050592,,929.0,969.0,1.0,,1.0,0.0
meta-llama/Llama-3.1-8B,arc_challenge,0.8507462686567164,0.7920110192837465,0.07438844118067811,0.07772530499803221,67.0,726.0,0.7763578274760383,0.7142857142857143,313.0,14.0
meta-llama/Llama-3.1-8B,gsm8k_test,0.2608695652173913,0.20435308343409916,0.1647996962217581,,69.0,827.0,0.09606986899563319,,229.0,0.0
meta-llama/Llama-3.1-8B,hellaswag_val,0.4171180931744312,0.413,,,923.0,1000.0,,,0.0,0.0
meta-llama/Llama-3.1-8B,humaneval,,0.10526315789473684,,-0.06140350877192982,0.0,19.0,0.0896551724137931,0.16666666666666666,145.0,24.0
meta-llama/Llama-3.1-8B,mmlu_test,0.6617647058823529,0.6412459720730398,0.06992797118847538,-0.3587540279269602,340.0,931.0,0.5918367346938775,1.0,49.0,6.0
microsoft/phi-4,arc_challenge,0.3,0.23861852433281006,-0.012039312039312078,-0.09471480900052326,40.0,637.0,0.31203931203931207,0.3333333333333333,407.0,30.0
microsoft/phi-4,gsm8k_test,0.5952380952380952,0.5008488964346349,0.24098708309234623,0.21513461072034923,42.0,589.0,0.354251012145749,0.2857142857142857,494.0,7.0
microsoft/phi-4,hellaswag_val,0.051075268817204304,0.03434343434343434,0.051075268817204304,,372.0,990.0,0.0,,22.0,0.0
microsoft/phi-4,humaneval,0.0,0.030303030303030304,-0.11940298507462686,-0.0196969696969697,2.0,33.0,0.11940298507462686,0.05,134.0,20.0
microsoft/phi-4,mmlu_test,0.8,0.7400881057268722,0.1670886075949367,0.24008810572687223,440.0,908.0,0.6329113924050633,0.5,79.0,6.0
mistralai/Mistral-7B-v0.3,arc_challenge,0.6419753086419753,0.7382953181272509,-0.021439325504366225,0.2382953181272509,81.0,833.0,0.6634146341463415,0.5,205.0,2.0
mistralai/Mistral-7B-v0.3,gsm8k_test,1.0,0.1375,0.9247159090909091,0.1375,1.0,400.0,0.07528409090909091,0.0,704.0,12.0
mistralai/Mistral-7B-v0.3,hellaswag_val,0.36768149882903983,0.339,-0.6323185011709602,,427.0,1000.0,1.0,,1.0,0.0
mistralai/Mistral-7B-v0.3,humaneval,0.5,0.09803921568627451,0.4256198347107438,-0.08377896613190731,4.0,51.0,0.0743801652892562,0.18181818181818182,121.0,11.0
mistralai/Mistral-7B-v0.3,mmlu_test,0.6047904191616766,0.5033783783783784,0.2714570858283433,-0.29662162162162165,167.0,888.0,0.3333333333333333,0.8,102.0,5.0
