benchmark,N,k,mean_AUC,mean_F1
humaneval,164,2,0.9922480620155039,0.9698529411759707
humaneval,164,3,0.9887566137566138,0.9624542124537125
humaneval,164,5,0.9946840958605664,0.9814393939388942
mbpp,500,2,0.9938236047107015,0.9641874999994999
mbpp,500,3,0.9953637327727018,0.9698735305201155
mbpp,500,5,0.9955021531961329,0.9771030776978158
truthfulqa_mc,817,2,0.9978686239244439,0.9802936536823055
truthfulqa_mc,817,3,0.9983447075990651,0.9827658311958755
truthfulqa_mc,817,5,0.9983927728203644,0.9859968979264002
