model,benchmark,detector,n_clean,n_contam,clean_acc,contam_acc,obs_gap,ci_low,ci_high,perm_p
EleutherAI__pythia-1b,gsm8k_test,mink_5,500,500,0.012,0.006,0.006,-0.004,0.018000000000000002,0.9166
EleutherAI__pythia-1b,gsm8k_test,mink_10,500,500,0.01,0.008,0.002,-0.01,0.013999999999999999,0.7426
EleutherAI__pythia-1b,gsm8k_test,mink_20,500,500,0.01,0.008,0.002,-0.01,0.014,0.7464
EleutherAI__pythia-1b,gsm8k_test,mink_30,500,500,0.014,0.004,0.01,-0.002,0.022,0.9812
EleutherAI__pythia-1b,gsm8k_test,mink_50,500,500,0.016,0.002,0.014,0.004,0.026000000000000002,0.9984
EleutherAI__pythia-1b,mmlu_test,mink_5,484,485,0.22727272727272727,0.2309278350515464,-0.003655107778819139,-0.055361676748743274,0.04804347363039935,0.484
EleutherAI__pythia-1b,mmlu_test,mink_10,484,485,0.2190082644628099,0.23917525773195877,-0.020166993269148864,-0.07599663457442277,0.035554336712959,0.2458
EleutherAI__pythia-1b,mmlu_test,mink_20,484,485,0.2128099173553719,0.24536082474226803,-0.032550907386896116,-0.08425385532930049,0.019055444321376826,0.1284
EleutherAI__pythia-1b,mmlu_test,mink_30,484,485,0.22727272727272727,0.2309278350515464,-0.003655107778819139,-0.05731138706654171,0.048009925875436406,0.4882
EleutherAI__pythia-1b,mmlu_test,mink_50,484,485,0.2334710743801653,0.22474226804123712,0.008728806338928169,-0.04494376757263357,0.0624266209423192,0.651
EleutherAI__pythia-1b,hellaswag_val,mink_5,500,500,0.026,0.032,-0.006000000000000002,-0.026000000000000002,0.014000000000000002,0.3572
EleutherAI__pythia-1b,hellaswag_val,mink_10,500,500,0.014,0.044,-0.03,-0.05005,-0.009999999999999998,0.0046
EleutherAI__pythia-1b,hellaswag_val,mink_20,500,500,0.008,0.05,-0.042,-0.062000000000000006,-0.022000000000000002,0.0
EleutherAI__pythia-1b,hellaswag_val,mink_30,500,500,0.01,0.048,-0.038,-0.060000000000000005,-0.019999999999999997,0.0
EleutherAI__pythia-1b,hellaswag_val,mink_50,500,500,0.01,0.048,-0.038,-0.058050000000000004,-0.018,0.0
EleutherAI__pythia-1b,arc_challenge,mink_5,500,500,0.23,0.23,0.0,-0.05199999999999999,0.05399999999999999,0.5276
EleutherAI__pythia-1b,arc_challenge,mink_10,500,500,0.222,0.238,-0.015999999999999986,-0.06800000000000003,0.036049999999999756,0.3036
EleutherAI__pythia-1b,arc_challenge,mink_20,500,500,0.218,0.242,-0.023999999999999994,-0.07600000000000001,0.03,0.211
EleutherAI__pythia-1b,arc_challenge,mink_30,500,500,0.218,0.242,-0.023999999999999994,-0.07605,0.027999999999999997,0.2
EleutherAI__pythia-1b,arc_challenge,mink_50,500,500,0.244,0.216,0.027999999999999997,-0.025999999999999995,0.08000000000000002,0.8782
EleutherAI__pythia-1b,humaneval,mink_5,82,82,0.036585365853658534,0.012195121951219513,0.024390243902439022,-0.024390243902439022,0.07317073170731707,0.9384
EleutherAI__pythia-1b,humaneval,mink_10,82,82,0.036585365853658534,0.012195121951219513,0.024390243902439022,-0.012195121951219516,0.07317073170731708,0.9352
EleutherAI__pythia-1b,humaneval,mink_20,82,82,0.036585365853658534,0.012195121951219513,0.024390243902439022,-0.024390243902439022,0.07317073170731707,0.9386
EleutherAI__pythia-1b,humaneval,mink_30,82,82,0.04878048780487805,0.0,0.04878048780487805,0.012195121951219513,0.0975609756097561,1.0
EleutherAI__pythia-1b,humaneval,mink_50,82,82,0.04878048780487805,0.0,0.04878048780487805,0.012195121951219513,0.0975609756097561,1.0
EleutherAI__pythia-1b,mbpp,mink_5,250,250,0.0,0.0,0.0,0.0,0.0,1.0
EleutherAI__pythia-1b,mbpp,mink_10,250,250,0.0,0.0,0.0,0.0,0.0,1.0
EleutherAI__pythia-1b,mbpp,mink_20,250,250,0.0,0.0,0.0,0.0,0.0,1.0
EleutherAI__pythia-1b,mbpp,mink_30,250,250,0.0,0.0,0.0,0.0,0.0,1.0
EleutherAI__pythia-1b,mbpp,mink_50,250,250,0.0,0.0,0.0,0.0,0.0,1.0
EleutherAI__pythia-1b,truthfulqa_mc,mink_5,408,409,0.9044117647058824,0.843520782396088,0.060890982309794395,0.014400109065631056,0.10741766144110454,0.9966
EleutherAI__pythia-1b,truthfulqa_mc,mink_10,408,409,0.8970588235294118,0.8508557457212714,0.04620307780814037,0.002133371686082741,0.0927117790881633,0.987
EleutherAI__pythia-1b,truthfulqa_mc,mink_20,408,409,0.8946078431372549,0.8533007334963325,0.041307109640922435,-0.002780574332422403,0.08545981350975575,0.9712
EleutherAI__pythia-1b,truthfulqa_mc,mink_30,408,409,0.8970588235294118,0.8508557457212714,0.04620307780814037,0.0021631849561339956,0.0902909115969126,0.981
EleutherAI__pythia-1b,truthfulqa_mc,mink_50,408,409,0.8921568627450981,0.8557457212713936,0.0364111414737045,-0.007640736612493421,0.08290201471786762,0.9522
EleutherAI__pythia-2.8b,gsm8k_test,mink_5,500,500,0.026,0.008,0.018,0.002,0.036,0.9942
EleutherAI__pythia-2.8b,gsm8k_test,mink_10,500,500,0.022,0.012,0.009999999999999998,-0.006,0.026000000000000002,0.9314
EleutherAI__pythia-2.8b,gsm8k_test,mink_20,500,500,0.016,0.018,-0.0019999999999999983,-0.018,0.014,0.493
EleutherAI__pythia-2.8b,gsm8k_test,mink_30,500,500,0.018,0.016,0.0019999999999999983,-0.013999999999999999,0.018,0.6874
EleutherAI__pythia-2.8b,gsm8k_test,mink_50,500,500,0.02,0.014,0.006,-0.01,0.022,0.836
EleutherAI__pythia-2.8b,mmlu_test,mink_5,484,485,0.22107438016528927,0.2515463917525773,-0.030472011587288045,-0.08411455227059722,0.0231959827894692,0.149
EleutherAI__pythia-2.8b,mmlu_test,mink_10,483,486,0.2194616977225673,0.25308641975308643,-0.03362472203051914,-0.0872766658998543,0.016014237149502845,0.1152
EleutherAI__pythia-2.8b,mmlu_test,mink_20,484,485,0.23760330578512398,0.23505154639175257,0.0025517593933714056,-0.046984110079236606,0.0562829087501062,0.5776
EleutherAI__pythia-2.8b,mmlu_test,mink_30,484,485,0.23140495867768596,0.24123711340206186,-0.009832154724375902,-0.06141305273920083,0.04381922552611398,0.389
EleutherAI__pythia-2.8b,mmlu_test,mink_50,484,485,0.2334710743801653,0.23917525773195877,-0.005704183351793485,-0.06347043537530886,0.045914948453608224,0.4388
EleutherAI__pythia-2.8b,hellaswag_val,mink_5,500,500,0.174,0.226,-0.05200000000000002,-0.10200000000000001,-0.0020000000000000018,0.0258
