model,benchmark,ensemble,n_total,n_clean_lt_0.1,n_mid,n_contam_gt_0.5,frac_contam
Qwen/Qwen2.5-14B,livecodebench,v1,400,2,27,371,0.9275
Qwen/Qwen2.5-14B,math,v1,1000,0,1,999,0.999
Qwen/Qwen2.5-14B,math500,v1,500,0,3,497,0.994
Qwen/Qwen2.5-14B,mbpp,v1,500,56,212,232,0.464
Qwen/Qwen2.5-14B,mmlu_test,v1,969,282,532,155,0.15995872033023736
Qwen/Qwen2.5-14B,truthfulqa_mc,v1,817,147,531,139,0.1701346389228886
Qwen/Qwen2.5-7B,agieval,v1,999,181,648,170,0.17017017017017017
Qwen/Qwen2.5-7B,aime2024,v1,90,0,4,86,0.9555555555555556
Qwen/Qwen2.5-7B,arc_challenge,v1,1000,134,652,214,0.214
Qwen/Qwen2.5-7B,bbh,v1,999,356,382,261,0.26126126126126126
Qwen/Qwen2.5-7B,gsm8k_test,v1,1000,4,214,782,0.782
Qwen/Qwen2.5-7B,hellaswag_val,v1,1000,297,698,5,0.005
Qwen/Qwen2.5-7B,humaneval,v1,164,0,2,162,0.9878048780487805
Qwen/Qwen2.5-7B,livecodebench,v1,400,2,21,377,0.9425
Qwen/Qwen2.5-7B,math,v1,1000,0,0,1000,1.0
Qwen/Qwen2.5-7B,math500,v1,500,0,3,497,0.994
Qwen/Qwen2.5-7B,mbpp,v1,500,98,245,157,0.314
Qwen/Qwen2.5-7B,mmlu_test,v1,969,249,555,165,0.17027863777089783
Qwen/Qwen2.5-7B,truthfulqa_mc,v1,817,193,536,88,0.10771113831089352
allenai/OLMo-2-1124-7B,agieval,v1,999,199,699,101,0.1011011011011011
allenai/OLMo-2-1124-7B,aime2024,v1,90,2,38,50,0.5555555555555556
allenai/OLMo-2-1124-7B,arc_challenge,v1,1000,121,671,208,0.208
allenai/OLMo-2-1124-7B,bbh,v1,999,327,505,167,0.16716716716716717
allenai/OLMo-2-1124-7B,gsm8k_test,v1,1000,3,157,840,0.84
allenai/OLMo-2-1124-7B,hellaswag_val,v1,1000,438,562,0,0.0
allenai/OLMo-2-1124-7B,humaneval,v1,164,2,69,93,0.5670731707317073
allenai/OLMo-2-1124-7B,livecodebench,v1,400,2,58,340,0.85
allenai/OLMo-2-1124-7B,math,v1,1000,1,39,960,0.96
allenai/OLMo-2-1124-7B,math500,v1,500,0,31,469,0.938
allenai/OLMo-2-1124-7B,mbpp,v1,500,285,187,28,0.056
allenai/OLMo-2-1124-7B,mmlu_test,v1,969,287,617,65,0.06707946336429309
allenai/OLMo-2-1124-7B,truthfulqa_mc,v1,817,39,431,347,0.42472460220318237
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,agieval,v1,999,738,233,28,0.028028028028028028
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,aime2024,v1,90,11,51,28,0.3111111111111111
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,arc_challenge,v1,1000,835,160,5,0.005
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,bbh,v1,999,746,248,5,0.005005005005005005
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,gsm8k_test,v1,1000,252,678,70,0.07
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,hellaswag_val,v1,1000,1000,0,0,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,humaneval,v1,164,24,112,28,0.17073170731707318
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,livecodebench,v1,400,20,204,176,0.44
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,math,v1,1000,21,324,655,0.655
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,math500,v1,500,10,154,336,0.672
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,mbpp,v1,500,452,46,2,0.004
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,mmlu_test,v1,969,912,56,1,0.0010319917440660474
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,truthfulqa_mc,v1,817,692,121,4,0.004895960832313341
google/gemma-2-27b,agieval,v1,999,619,363,17,0.01701701701701702
google/gemma-2-27b,aime2024,v1,90,17,53,20,0.2222222222222222
google/gemma-2-27b,arc_challenge,v1,1000,647,334,19,0.019
google/gemma-2-27b,bbh,v1,999,632,358,9,0.009009009009009009
google/gemma-2-27b,gsm8k_test,v1,1000,155,687,158,0.158
google/gemma-2-27b,hellaswag_val,v1,1000,998,2,0,0.0
google/gemma-2-27b,humaneval,v1,164,7,79,78,0.47560975609756095
google/gemma-2-27b,livecodebench,v1,400,3,25,372,0.93
google/gemma-2-27b,math,v1,1000,25,360,615,0.615
google/gemma-2-27b,math500,v1,500,18,153,329,0.658
google/gemma-2-27b,mbpp,v1,500,213,190,97,0.194
google/gemma-2-27b,mmlu_test,v1,969,797,168,4,0.0041279669762641896
google/gemma-2-27b,truthfulqa_mc,v1,817,512,292,13,0.01591187270501836
google/gemma-2-9b,agieval,v1,999,924,71,4,0.004004004004004004
google/gemma-2-9b,aime2024,v1,90,53,33,4,0.044444444444444446
google/gemma-2-9b,arc_challenge,v1,1000,896,99,5,0.005
google/gemma-2-9b,bbh,v1,999,778,220,1,0.001001001001001001
google/gemma-2-9b,gsm8k_test,v1,1000,370,556,74,0.074
google/gemma-2-9b,hellaswag_val,v1,1000,1000,0,0,0.0
google/gemma-2-9b,humaneval,v1,164,42,103,19,0.11585365853658537
google/gemma-2-9b,livecodebench,v1,400,5,114,281,0.7025
google/gemma-2-9b,math,v1,1000,136,478,386,0.386
google/gemma-2-9b,math500,v1,500,55,212,233,0.466
google/gemma-2-9b,mbpp,v1,500,360,101,39,0.078
google/gemma-2-9b,mmlu_test,v1,969,929,39,1,0.0010319917440660474
google/gemma-2-9b,truthfulqa_mc,v1,817,662,146,9,0.011015911872705019
meta-llama/Llama-3.1-8B,agieval,v1,999,119,748,132,0.13213213213213212
meta-llama/Llama-3.1-8B,aime2024,v1,90,8,55,27,0.3
meta-llama/Llama-3.1-8B,arc_challenge,v1,1000,67,620,313,0.313
meta-llama/Llama-3.1-8B,bbh,v1,999,420,463,116,0.11611611611611612
meta-llama/Llama-3.1-8B,gsm8k_test,v1,1000,69,702,229,0.229
meta-llama/Llama-3.1-8B,hellaswag_val,v1,1000,923,77,0,0.0
meta-llama/Llama-3.1-8B,humaneval,v1,164,0,19,145,0.8841463414634146
meta-llama/Llama-3.1-8B,livecodebench,v1,400,2,39,359,0.8975
meta-llama/Llama-3.1-8B,math,v1,1000,13,126,861,0.861
meta-llama/Llama-3.1-8B,math500,v1,500,4,58,438,0.876
meta-llama/Llama-3.1-8B,mbpp,v1,500,118,264,118,0.236
meta-llama/Llama-3.1-8B,mmlu_test,v1,969,340,580,49,0.05056759545923633
meta-llama/Llama-3.1-8B,truthfulqa_mc,v1,817,102,551,164,0.200734394124847
microsoft/phi-4,agieval,v1,999,201,712,86,0.08608608608608609
microsoft/phi-4,aime2024,v1,90,16,27,47,0.5222222222222223
microsoft/phi-4,arc_challenge,v1,1000,40,553,407,0.407
microsoft/phi-4,bbh,v1,999,255,406,338,0.3383383383383383
microsoft/phi-4,gsm8k_test,v1,1000,42,464,494,0.494
microsoft/phi-4,hellaswag_val,v1,1000,372,606,22,0.022
microsoft/phi-4,humaneval,v1,164,2,28,134,0.8170731707317073
microsoft/phi-4,livecodebench,v1,400,5,45,350,0.875
microsoft/phi-4,math,v1,1000,5,62,933,0.933
microsoft/phi-4,math500,v1,500,3,27,470,0.94
microsoft/phi-4,mbpp,v1,500,51,242,207,0.414
microsoft/phi-4,mmlu_test,v1,969,440,450,79,0.08152734778121776
microsoft/phi-4,truthfulqa_mc,v1,817,122,571,124,0.15177478580171358
mistralai/Mistral-7B-v0.3,agieval,v1,999,90,714,195,0.19519519519519518
mistralai/Mistral-7B-v0.3,aime2024,v1,90,0,20,70,0.7777777777777778
mistralai/Mistral-7B-v0.3,arc_challenge,v1,1000,81,714,205,0.205
mistralai/Mistral-7B-v0.3,bbh,v1,999,292,418,289,0.28928928928928926
mistralai/Mistral-7B-v0.3,gsm8k_test,v1,1000,1,295,704,0.704
mistralai/Mistral-7B-v0.3,hellaswag_val,v1,1000,427,572,1,0.001
mistralai/Mistral-7B-v0.3,humaneval,v1,164,4,39,121,0.7378048780487805
mistralai/Mistral-7B-v0.3,livecodebench,v1,400,2,2,396,0.99
mistralai/Mistral-7B-v0.3,math,v1,1000,0,34,966,0.966
mistralai/Mistral-7B-v0.3,math500,v1,500,0,14,486,0.972
mistralai/Mistral-7B-v0.3,mbpp,v1,500,227,181,92,0.184
mistralai/Mistral-7B-v0.3,mmlu_test,v1,969,167,700,102,0.10526315789473684
mistralai/Mistral-7B-v0.3,truthfulqa_mc,v1,817,49,544,224,0.2741738066095471
EleutherAI/pythia-1b,agieval,v2,999,998,1,0,0.0
EleutherAI/pythia-1b,aime2024,v2,90,89,1,0,0.0
EleutherAI/pythia-1b,arc_challenge,v2,1000,978,22,0,0.0
EleutherAI/pythia-1b,bbh,v2,999,991,8,0,0.0
EleutherAI/pythia-1b,gsm8k_test,v2,1000,1000,0,0,0.0
EleutherAI/pythia-1b,hellaswag_val,v2,1000,1000,0,0,0.0
EleutherAI/pythia-1b,humaneval,v2,164,105,59,0,0.0
EleutherAI/pythia-1b,livecodebench,v2,400,270,130,0,0.0
EleutherAI/pythia-1b,math,v2,1000,725,264,11,0.011
EleutherAI/pythia-1b,math500,v2,500,337,157,6,0.012
EleutherAI/pythia-1b,mbpp,v2,500,402,97,1,0.002
EleutherAI/pythia-1b,mmlu_test,v2,969,969,0,0,0.0
EleutherAI/pythia-1b,truthfulqa_mc,v2,817,695,117,5,0.006119951040391677
EleutherAI/pythia-2.8b,agieval,v2,999,994,5,0,0.0
EleutherAI/pythia-2.8b,aime2024,v2,90,84,6,0,0.0
EleutherAI/pythia-2.8b,arc_challenge,v2,1000,949,50,1,0.001
EleutherAI/pythia-2.8b,bbh,v2,999,955,44,0,0.0
EleutherAI/pythia-2.8b,gsm8k_test,v2,1000,998,2,0,0.0
EleutherAI/pythia-2.8b,hellaswag_val,v2,1000,1000,0,0,0.0
EleutherAI/pythia-2.8b,humaneval,v2,164,71,91,2,0.012195121951219513
EleutherAI/pythia-2.8b,livecodebench,v2,400,156,240,4,0.01
EleutherAI/pythia-2.8b,math,v2,1000,510,461,29,0.029
EleutherAI/pythia-2.8b,math500,v2,500,241,239,20,0.04
EleutherAI/pythia-2.8b,mbpp,v2,500,388,110,2,0.004
EleutherAI/pythia-2.8b,mmlu_test,v2,969,964,5,0,0.0
EleutherAI/pythia-2.8b,truthfulqa_mc,v2,817,621,193,3,0.0036719706242350062
EleutherAI/pythia-410m,agieval,v2,999,998,1,0,0.0
EleutherAI/pythia-410m,aime2024,v2,90,90,0,0,0.0
EleutherAI/pythia-410m,arc_challenge,v2,1000,992,8,0,0.0
EleutherAI/pythia-410m,bbh,v2,999,998,1,0,0.0
EleutherAI/pythia-410m,gsm8k_test,v2,1000,1000,0,0,0.0
EleutherAI/pythia-410m,hellaswag_val,v2,1000,1000,0,0,0.0
EleutherAI/pythia-410m,humaneval,v2,164,132,32,0,0.0
